,ISBN,bookTitle,yearOfPublication,publisher
93348,553255754,Magician's Apprentice,1986,Spectra Books
93353,385196210,Magician,1984,Doubleday Books
93358,812589831,People of the Owl (First North Americans),2004,Forge Books
93359,812500881,Sand in the Wind,1990,Tor Books
93360,812589823,Bone Walker (Anasazi Mystery),2002,Tor Books
93361,312865325,The Summoning God: Book II of the Anasazi Mysteries,2000,Forge
93362,765350300,People of the Wolf Special Intro Edition (First North Americans),2004,Tor Books
93363,312858574,People of the Masks,1998,St Martins Pr
93364,312877420,Bone Walker (Anasazi Mystery),2001,Forge Books
93365,312865317,The Visitant,1999,St Martins Pr
93366,812583078,This Widowed Land,1994,Tor Books
93367,613281268,The Visitant (Anasazi Mysteries),2000,Sagebrush Bound
93368,312857225,People of the Lakes (First North Americans (Hardcover)),1994,St Martins Pr
93369,330334522,People of the Wolf,1994,Tor Books
93370,312877412,People of the Owl: A Novel of Prehistoric North America,2003,Forge
93371,812536576,Thin Moon and Cold Mist : Women of the West (Women of the West Series),1996,Forge Books
93372,1593101678,Kansas Brides,2004,Barbour Publishing
93374,312993560,The Tea Rose,2004,St. Martin's Press
93379,152167056,A Northern Light,2003,Harcourt Children's Books
93384,312288352,The Tea Rose: A Novel,2003,Thomas Dunne Books
93389,1551666685,Embrace the Twilight,2003,Mira Books
93391,778320227,Edge of Twilight,2004,Mira Books
93393,1551667371,Thicker Than Water,2003,Mira Books
93395,373218117,Broken Silence,2003,Silhouette
93397,515131679,The Gingerbread Man,2001,Jove Books
93399,373218095,Two By Twilight (2 novels in 1),2003,Silhouette
93401,373075685,Miranda'S Viking (Spellbound) (Silhouette Intimate Moments No 568),1994,Silhouette
93403,373185103,The Texas  Brand  (By Request 3's) (By Request 3's),2002,Silhouette
93405,373501838,Husband In Time (Fortune'S Children),1996,Harlequin
93407,1551668866,Twilight Hunger,2002,Mira Books
93409,373613687,Enemy Mind,2003,Silhouette
93411,373484585,At Twilight,2002,Silhouette
93413,373484372,Wings In The Night,2001,Silhouette
93415,373483384,Born In Twilight,1997,Silhouette
93417,515130133,Destiny,2001,Jove Books
93419,373484291,The Texas Brand: The Homecoming,2001,Silhouette
93421,515124079,Eternity,1998,Jove Books
93423,515126101,Infinity,1999,Jove Books
93425,380787466,Forever Enchanted,1997,Harper Mass Market Paperbacks (Mm)
93427,373270186,Twilight Phantasies (Shadows (Silhouette)),1993,Silhouette
93429,373272596,Secrets and Lies  (The Oklahoma All - Girls Brand),2002,Silhouette
93431,373650213,That Mysterious Texas Brand Man  (Worlds Most Eligible Bachelors) (World's Most Eligible),1998,Harlequin
93433,373201788,After Midnight (By Request 3's): Miranda's Viking/Kiss of the Shadow Man/Out-of-this-World Marriage,2000,Silhouette
93435,515121576,Bewitched,1997,Jove Books
93437,380787474,Annie's Hero,1997,Avon Books
93439,380783002,Fairytale,1996.0,Avon Books
93441,20532105,CRY THE BELOVED COUNTRY (Scribner Classic),1987,Scribner
93443,684718634,Cry the Beloved Country,1990,Simon Schuster Trade
93445,684718669,Too Late the Phalarope,1950,Scribner Book Company
93447,822003376,The Crucible (Notes),1988,John Wiley  Sons
93449,684174731,CRY THE BELOVED COUNTRY (Scribner Classics),1982,Scribner Paper Fiction
93451,684173360,Ah but Your Land Is Beautiful,1982,Scribner Book Company
93453,140181733,Cry the Beloved Country,0,Penguin Putnam~trade
93455,684188929,TOWARDS THE MOUNTAIN,1987,Scribner Paper Fiction
93457,684818957,Too Late The Phalarope,1996,Scribner
93459,684825848,TALES FROM A TROUBLED LAND,1996,Scribner
93461,8440673922,Llanto Por la Tierra Amada,1997,Ediciones B
93463,684178303,Ah But Your Land Is Beautiful,1983,Simon Schuster Trade
93465,684185008,Too Late the Phalarope,1985,Simon  Schuster
93467,60175966,The Professor and the Madman,1998,HarperCollins Publishers
93472,60931809,The Map That Changed the World : William Smith and the Birth of Modern Geology,2002,Perennial
93477,138700982,The Sun Never Sets: Travels to the Remaining Outposts of the British Empire,1986,Prentice Hall
93482,60195746,The Fracture Zone: A Return to the Balkans,1999,Harpercollins
93487,198607024,The Meaning of Everything: The Story of the Oxford English Dictionary,2003,Oxford University Press
93492,60193611,The Map That Changed the World: William Smith and the Birth of Modern Geology,2001,HarperCollins
93497,2253150827,Le Fou et le professeur,2001,Le Livre de Poche
93502,965499634,The Meaning of Everything (The Meaning of Everything: The Story of the Oxford English Dictionary),2003,Oxford University Press
93507,804112398,Pacific Nightmare: How Japan Starts World War III : A Future History,1994,Ivy Books
93512,058243565X,The Surgeon of Crowthorne,2001,Penguin Longman Publishing
93517,3813501272,Eine Karte verÃ?Â¤ndert die Welt. William Smith und die Geburt der modernen Geologie.,2001,Knaus
93522,60598611,Outposts : Journeys to the Surviving Relics of the British Empire,2004,Perennial
93527,694522716,The Map That Changed the World: William Smith and the Birth of Modern Geology [UNABRIDGED],2001,HarperAudio
93532,1559721367,Pacific Nightmare: How Japan Starts World War III : A Future History,1992,Carol Publishing Corporation
93537,3813501361,Der wilde Strom. Eine Reise auf dem Jangtse.,2000,Knaus
93542,743436741,The Lions of Lucerne,2002,Pocket Star
93545,743436768,Path of the Assassin,2003,Pocket Star
93548,743436733,The Lions of Lucerne,2002,Atria
93551,074343675X,Path of the Assassin : A Thriller,2003,Atria Books
93554,743436776,State of the Union : A Thriller,2004,Atria Books
93557,312275560,The Path of Minor Planets : A Novel,2001,Picador
93559,375706771,Midwives: A Novel,1998,Vintage
93563,684826127,WATER WITCHES,1997,Touchstone
93567,517703963,Midwives,1997,Random House~trade
93571,375406964,Midwives,1998,Random House Audio
93575,375415696,Trans-Sister Radio,2000,Random House Audio
93579,613177053,Midwives,1999.0,Sagebrush Bound
93583,451525078,Don Quixote of LA Mancha,1990,Signet Classics
93587,3538050236,Der sinnreiche Junker Don Quijote von der Mancha.,1956,Artemis  Winkler
93591,1566197317,Don Quixote de la Mancha,1995,Barnes  Noble Books
93595,451518217,Don Quixote,1983,Signet Book
93599,8471430819,El licenciado Vidriera: Novela ejemplar (ColecciÃ³n Textos en espaÃ±ol fÃ¡cil),1976,Sociedad General EspaÃ±ola de LibrerÃ­a
93603,679722319,Where I'm Calling from: New and Selected Stories (Vintage Contemporaries),1989,Vintage Books USA
93605,679723692,Cathedral (Vintage Contemporaries (Paperback)),1989,Vintage Books USA
93607,679723056,What We Talk About When We Talk About Love: Stories (Vintage Contemporaries),1989,Vintage Books USA
93609,871133741,A New Path to the Waterfall,1990,Atlantic Monthly Press
93611,3442761344,Kathedrale.,2003,Berliner Taschenbuchverlag
93613,8433920669,de Que Hablamos Cuando Hablamos de Amor,1995,Anagrama
93615,679748644,Short Cuts: Selected Stories (Vintage Contemporaries Original),1993,Vintage Books USA
93617,8433966790,Shorts Cuts,2001,Anagrama
93619,843392057X,Catedral,1995,Anagrama
93623,440204232,American Short Story Masterpieces,1989,Laurel
93625,394712811,Cathedral: Stories (Vintage contemporaries),1984,Vintage Books
93627,087113280X,A new path to the waterfall: Poems,1989,Atlantic Monthly Press
93629,394750802,What We Talk about When Talk Love,1977,Vintage Books USA
93631,60911239,In Praise of What Persists,1984,HarperCollins Publishers
93633,394755359,Ultramarine,1987,Vintage Books USA
93635,8475222528,Bajo Una Luz Marina,1998,Visor
93637,225305349X,Parlez-moi d'amour,1990,LGF
93639,039474327X,Where Water Comes Together With Other Water: Poems,1986,Vintage Books USA
93641,1860463878,Cathedral,1997.0,Havill Pr
93643,679729259,The Brothers Karamazov (Vintage Classics),1991,Vintage Books USA
93647,140445277,The Brothers Karamazov (Penguin Classics),1993,Penguin Books
93651,486290816,The Gambler (Dover Thrift Editions),1996,Dover Publications
93655,140442529,Notes from Underground the Double: The Double (Penguin Classics),1972,Penguin Books
93659,048627053X,Notes from the Underground (Dover Thrift Editions),1992,Dover Publications
93663,140449132,Crime and Punishment (Penguin Classics),2003,Penguin Books
93667,486295729,The Double (Dover Thrift Editions),1997,Dover Publications
93671,1853261750,Idiot (Wordsworth Collection),1998,NTC/Contemporary Publishing Company
93675,140445285,Crime and Punishment (Penguin Classics),1993,Penguin Books
93679,192834118,The Idiot (Oxford World's Classics),1998,Oxford University Press
93683,140440356,The Devils : The Possessed,1954,Penguin Books
93687,486415872,Crime and Punishment (Dover Thrift Editions),2001,Dover Publications
93691,140440542,Idiot (Penguin Classics),1956,Penguin Books
93695,553210378,The brothers Karamazov,1981,Bantam
93699,451523350,Crime and Punishment (Washington Square Enriched Classic),1996,Signet Classics
93703,140444165,Brothers Karamazov (Classics S.),1982,Penguin Putnam~trade
93707,679734503,Crime and Punishment: A Novel in Six Parts With Epilogue (Vintage Classics),1993,Vintage Books USA
93711,451527348,The Brothers Karamazov (Signet Classics (Paperback)),1999,Signet Classics
93715,679420290,Crime and Punishment (Everyman's Library Series),1993,Everyman's Library
93719,3829009046,Crime &amp; Punishment (Konemann Classics),1999,Konemann
93723,451523768,Notes from Underground White Nights the Dream of a Ridiculous Man and Selections from the House of the Dead,1980,Signet Classics
93727,460874489,Notes from Underground: A Confession/Two Short Works (Everyman's Library),1994,Tuttle Pub
93731,8484035530,Crimen y castigo (Grandes clÃ¡sicos series),2003,Independent Publishers Group
93735,192833839,Crime and Punishment (Oxford World's Classics),1998,Oxford University Press
93739,679642420,The Idiot (Modern Library Classics),2003,Modern Library
93743,812966937,The Gambler,2003,Modern Library
93747,865474222,The Brothers Karamazov: A Novel in Four Parts With Epilogue,1990,North Point Press
93751,679601007,Crime and Punishment (Modern Library),1994,Modern Library
93755,679600205,Best Short Stories of Dostoyevsky (Modern Library Series),1992,Modern Library
93759,451527232,Crime and Punishment (Signet Classics (Paperback)),1999,Signet Book
93763,067973452X,Notes from Underground (Vintage Classics),1994,Vintage Books USA
93767,393000443,The Gambler,1981,W W Norton  Co
93771,1404309578,The Idiot,2002,IndyPublish.com
93775,375756884,The Best Short Stories of Fyodor Dostoevsky (Modern Library Paperback Classics),2001,Modern Library
93779,451524926,The Idiot,1995,Signet Classics
93783,451512871,Crime and Punishment (Signet Classic),1968,Signet Classic
93787,804461252,Grand Inquisitor,1981,Frederick Ungar
93791,140445056,Poor Folk and Other Stories (Penguin Classics),1989,Penguin Books
93795,140444564,The House of the Dead (Penguin Classics),1986,Penguin Books
93799,553379127,The Eternal Husband: And Other Stories,1997,Bantam
93803,452010934,Notes from Underground and The Grand Inquisitor,1991,Plume Books
93807,872202283,The Grand Inquisitor: With Related Chapters from the Brothers Karamazov,1993,Hackett Publishing Company
93811,316037443,The Best Cat Ever,1993,Little Brown  Co
93812,140113428,The Cat Who Came for Christmas,1989,Penguin USA
93813,067087762X,Ranch of Dreams: The Heartwarming Story of America's Most Unusual Animal Sanctuary,1997,Viking Books
93816,316058211,The Cat Who Came for Christmas,2001,Back Bay Books
93817,316037370,The Cat Who Came for Christmas (Cat Who... (Hardcover)),1987,Little Brown  Co
93818,140252738,The Cat Who Came for Christmas,1995,Penguin Books
93819,316037397,The Cat and the Curmudgeon,1990,Little Brown  Co
93820,316089788,The Best Cat Ever,2002,Back Bay Books
93821,316090034,The Cat and the Curmudgeon,2002,Back Bay Books
93822,067172620X,CAT AND THE CURMUDGEON,1990,Simon  Schuster Audio
93823,671510126,The Good Earth (Enriched Classics),1994,Pocket
93828,671729896,GOOD EARTH,1990,Pocket
93833,671504371,The Good Earth,1981,Washington Square Press
93838,067172651X,GOOD EARTH  (ENRICHED CLASSIC),1990,Washington Square Press
93843,155921287X,Pavilion of Women,2001,Moyer Bell Ltd.
93848,671500864,GOOD EARTH,1983,Pocket
93858,871918285,Old Demon (Creative Classic Series),1981,Creative Education (Sd)
93863,671820117,PEONY,1978,Pocket
93868,1559210915,The Mother,1993,Moyer Bell Ltd.
93873,019581035X,Good Earth (Oxford Progressive English Readers Series),1980,Oxford Univ Pr (Sd)
93878,8426105149,LA Buena Tierra,1998,Juventud
93888,1560549653,Letter from Peking,1992,Chivers Audio Books
93893,1559212098,The Promise (Oriental Novels of Pearl S. Buck Series),1997,Moyer Bell Ltd.
93898,785749314,Buena Tierra/Good Earth,1999,Sagebrush Bound
93903,671035770,The Good Earth (Contemporary Classics),1999,Washington Square Press
93908,836923871,What America Means to Me (Essay index reprint series),1973,Ayer Co Pub
93913,848804368,The Woman Who Was Changed and Other Stories: And Other Stories,1988,Amereon Limited
93918,381980553,The Three Daughters of Madame Liang,1969,Harpercollins
93923,1559210222,The Living Reed,1990,Moyer Bell Ltd.
93928,1559211474,The House of Earth (Oriental Novels of Pearl S. Buck),1995,Moyer Bell Ltd.
93933,886820596,The Enemy (Creative's Classics),1986,Creative Education
93938,838317669,Chinese Novel,1974,Haskell House Pub Ltd
93943,933149492,The Child Who Never Grew,1992,Woodbine House
93948,899668224,The Child Who Never Grew,1991,Buccaneer Books
93953,808572725,The Big Wave,1999,Sagebrush Bound
93958,318145820,Tell the People: Talks With James Yen About the Mass Educational Movement,1959,International Institute of Rural Reconstructi
93963,451158679,Story Bible: The New Testament (Story Bible),1983,Signet Book
93968,451134583,Story Bible: Old Testament,1984,New Amer Library
93973,816136610,Story Bible,1984,Thorndike Pr
93978,381982874,Secrets of the Heart: Stories,1976,Harpercollins
93983,084880791X,Portrait of a Marriage,1996,Amereon Limited
93988,1559211687,Peony,1996,Moyer Bell Ltd.
93993,930395123,Peony,1990,Bloch Pub Co
93998,081613975X,Pearl S. Buck's Book of Christmas (G K Hall Large Print Book Series),1986,Thorndike Pr
94003,671006576,Pearl Buck's the Good Earth,1980,Monarch Press
94008,381980480,Patriot,1939,Harpercollins
94013,854566562,New Year,1970,Ulverscroft Large Print Books
94018,899669875,My Several Worlds,1996,Buccaneer Books
94023,381980421,Mother,1971,Harpercollins
94028,394905091,Man Who Changed China: The Story of Sun Yat-Sen,1963,Random House Childrens Books
94033,088682124X,Little Red (Short Stories),1987,Creative Education (Sd)
94038,381980383,Kinfolk,1972,Harpercollins
94043,686966791,Joy of Children,1974,Bookworld Communications Corp
94048,381980375,Imperial Woman,1956,Harpercollins
94053,671787977,HOUSE DIVIDED,1975,Pocket
94058,835910563,Good Earth: Study Guide (Pacemaker Classics Study Guides),1995,Globe Fearon
94063,531001911,Good Earth,1975,Scholastic Library Pub
94068,671822780,GODS MEN,1978,Pocket
94073,671803263,Fourteen Stories,1976,Pocket Books (Mm)
94078,792715799,Fighting Angel (Curley Large Print),1993,Chivers North Amer
94083,038198026X,East Wind: West Wind,1930,Harpercollins
94088,381900150,East and West: Stories,1975,Harpercollins
94093,067178269X,Dragon Seed,1981,Pocket Books
94098,084880435X,Death in the Castle: A Novel,1988,Amereon Limited
94103,671803271,Death in the Castle,1976,Pocket Books (Mm)
94108,038199919X,Christmas Ghost,1960,Harpercollins Library
94113,688162673,Christmas Day in the Morning,2002,HarperCollins
94118,688162681,Christmas Day in the Morning,2002,HarperCollins Publishers
94123,381999203,Chinese Story Teller,1971,Harpercollins Library
94128,1561371203,Big Wave: Grade 7-8,2000,Novel Units
94133,590085123,Big Wave (8512),1969,Scholastic
94138,083691550X,American Unity and Asia (Essay Index Reprint Series),1972,Ayer Co Pub
94143,381980170,All Men Are Brothers,1968,Harpercollins
94148,895771969,A Pearl Buck Reader,1985,Readers Digest Assn
94153,9997507002,A House Divided,1935,Harpercollins
94158,886825776,A Field of Rice,1995,Creative Education
94163,1559210249,Pavilion of Women (Oriental Novels of Pearl S. Buck),1990,Alliance House Inc
94168,671689541,The Good Earth,1981,Washington Square Press
94173,671688138,GOOD EARTH,1989,Pocket
94178,1559211563,Kinfolk (Oriental Novels of Pearl S. Buck),1996,Moyer Bell Ltd.
94183,1559213345,Imperial Woman (Oriental Novels of Peal S. Buck Series),2004,Moyer Bell Ltd.
94188,440403278,Number the Stars (Yearling Newbery),1990,Yearling Books
94193,440900794,The Giver,1994,Random House Childrens Pub
94198,618055819,Gathering Blue,2000,Walter Lorraine Books
94203,440400090,Anastasia Again!,1982,Yearling Books
94208,395645662,The Giver (Newbery Medal Book),1993,Houghton Mifflin/Walter Lorraine Books
94213,395436079,Rabble Starkey,1987,Walter Lorraine Books
94218,440402913,Anastasia on Her Own,1986,Yearling Books
94223,440400872,Anastasia Has the Answers,1987,Yearling Books
94228,395884578,Number the Stars: And Related Readings (Literature Connections),1998,Houghton Mifflin School
94233,440408520,Anastasia Krupnik,1984,Yearling Books
94238,3423781106,HÃ?Â¼ter der Erinnerung. ( Ab 12 J.).,1998,Dtv
94243,2211021662,Le Passeur,2002,Distribooks Inc
94248,440227534,Number the Stars (Laurel Leaf Books),1998,Laurel-Leaf Books
94253,785734988,The Giver (21st Century Reference),1999,Sagebrush Education Resources
94258,395253381,A Summer to Die,1977,Houghton Mifflin/Walter Lorraine Books
94263,440700310,Number the Stars,1990,Yearling Books
94268,440401003,Anastasia's Chosen Career (Yearling Books (Paperback)),1988,Yearling Books
94273,440415241,Stay!: Keeper's Story,1999,Yearling Books
94278,395425069,Anastasia's Chosen Career,1987,Walter Lorraine Books
94283,440220335,Number the Stars,1996,Laurel-Leaf Books
94288,395510600,Number the Stars,1989,Houghton Mifflin/Walter Lorraine Books
94293,440402905,Anastasia at Your Service,1984,Yearling Books
94298,440484154,Switcharound,1987,Yearling Books
94303,440219175,A Summer to Die,1984,Laure Leaf
94308,440406528,Anastasia at This Address,1992,Yearling Books
94313,395562635,Anastasia at This Address,1991,Walter Lorraine Books
94318,553143042,Summer to Die,1978,Bantam Books
94323,3785526970,HÃ?Â¼ter der Erinnerung. ( Ab 12 J.).,1994,Loewe Verlag
94328,440227844,Anastasia Krupnik,1998,Yearling Books
94333,395286298,Anastasia Krupnik,1979,Houghton Mifflin/Walter Lorraine Books
94338,395417953,Anastasia Has the Answers,1986,Houghton Mifflin/Walter Lorraine Books
94343,395381339,Anastasia on Her Own,1985,Houghton Mifflin/Walter Lorraine Books
94348,618404414,Messenger,2004,Houghton Mifflin/Walter Lorraine Books
94353,440402212,All About Sam,1989,Yearling Books
94358,395395364,Switcharound,1985,Houghton Mifflin/Walter Lorraine Books
94363,440403448,Autumn Street,1986,Yearling Books
94368,440752841,Taking Care of Terrific,1984,Dell Publishing
94373,440227275,The Giver,1997,Laurel Leaf
94378,440802911,Number the Stars,1992,Bantam Doubleday Dell Publishing Group
94383,440491851,Us and Uncle Fraud,1986.0,Yearling Books
94388,842314296,Hinds' Feet on High Places,1997,Living Books
94389,768420350,Hinds Feet on High Places Women,1999,Destiny Image Publishers
94390,842346112,Mountains of Spices,1983,Tyndale House Publishers
94391,842378057,Walking Among the Unseen,1981,Tyndale House Publishers
94392,805413995,Watchmen on the Walls: An Eyewitness Account of Israel's Fight for Independence from the Journal of Hannah Hurnard,1998,Broadman  Holman Publishers
94393,739405640,Hinds' Feet on High Places,1993,Tyndale House Publishers
94394,1560431113,Hinds Feet on High Places,1993,Destiny Image Publishers
94395,842382259,Winged Life,1981,Tyndale House Publishers
94396,842314334,Hinds Feet On High Places,0,Tyndale House Publishers
94397,842378235,Wayfarer in the Land,1981,Tyndale House Publishers
94398,3257227809,Venezianisches Finale. Commissario Brunettis erster Fall.,1995,Diogenes Verlag
94399,142003190,A Noble Radiance,2003,Penguin Books
94400,3257231393,Sanft entschlafen. Commissario Brunettis sechster Fall.,2000,Diogenes Verlag
94401,3257229364,Endstation Venedig. Commissario Brunettis zweiter Fall.,1996,Diogenes Verlag
94402,8432227692,Malas Artes,2003,Planeta Pub Corp
94403,3257231008,Vendetta. Commissario Brunettis vierter Fall.,1998,Diogenes Verlag
94404,330346261,Acqua Alta,0,Pan Books Ltd
94405,3257231180,Acqua alta. Commissario Brunettis fÃ?Â¼nfter Fall.,1999,Diogenes Verlag
94406,99269325,Friends in High Places,2001,Trafalgar Square
94407,3257233116,In Sachen Signora Brunetti. Der achte Fall.,2001,Diogenes Verlag
94408,3257229909,Venezianische Scharade. Commissario Brunettis dritter Fall.,1997,Diogenes Verlag
94409,61043370,Death At La Fenice,1995,HarperTorch
94410,60170085,Death in a Strange Country,1993,HarperCollins Publishers
94411,61094064,Death in a Strange Country,1995,Harper Mass Market Paperbacks (Mm)
94412,333673751,The Death of Faith,1997,Pan Macmillan
94413,3257232608,Nobilta. Commissario Brunettis siebter Fall.,2001,Diogenes Verlag
94414,871139030,Uniform Justice: A Commissario Guido Brunetti Mystery,2003,Atlantic Monthly Press
94416,708936164,The Anonymous Venetian (Ulverscroft Large Print Series),1996,Ulverscroft Large Print
94417,61094188,Dressed for Death: A Guido Brunetti Mystery,1995,HarperCollins Publishers
94418,142004227,Uniform Justice (Penguin Mysteries (Paperback)),2004,Penguin Books
94419,871139189,Doctored Evidence: A Commissario Guido Brunetti Mystery (Commissario Guido Brunetti Mysteries),2004,Atlantic Monthly Press
94420,3257062710,Feine Freunde. Commissario Brunettis neunter Fall.,2001,Diogenes Verlag
94421,3257233396,Feine Freunde. Commissario Brunettis neunter Fall.,2002,Diogenes Verlag
94422,8432216364,Acqua Alta,2003,Planeta Pub Corp
94423,078611228X,Death in a Strange Country,1997,Blackstone Audiobooks
94424,2020476940,PÃ?Â©chÃ?Â©s mortels,2001,Seuil
94425,325706134X,Vendetta. Commissario Brunettis vierter Fall.,1997,Diogenes
94426,006074068X,Death at La Fenice : A Commissario Guido Brunetti Mystery,2004,Perennial Dark Alley
94427,3257063431,Die dunkle Stunde der Serenissima. Commissario Brunettis elfter Fall.,2003,Diogenes
94430,8432216178,Muerte En LA Fenice,2003,Planeta Pub Corp
94432,325706313X,Das Gesetz der Lagune. Commissario Brunettis zehnter Fall.,2002,Diogenes
94433,754091325,Wilful Behaviour,2003,Chivers Press Ltd
94434,60168714,Death at LA Fenice: A Novel of Suspense,1992.0,Harpercollins
94435,3423203668,Die fÃ?Â¼nfte Frau.,2000,Dtv
94438,3423204206,Die falsche FÃ?Â¤hrte.,2001,Dtv
94441,3423205202,Mittsommermord. Roman.,2002,Dtv
94444,3423202947,Hunde von Riga.,2000,Dtv
94447,3423202327,MÃ?Â¶rder ohne Gesicht.,1999,Dtv
94450,3423201509,Die Weiss Lowin / Contemporary German Lit,2002,Distribooks
94453,186046808X,Faceless Killers,2000,Trafalgar Square
94456,3552052194,Vor dem Frost.,2003,Zsolnay
94459,3552051686,Die Brandmauer. Der achte Fall von Kommissar Kurt Wallander.,2001,ZSOLNAY-VERLAG
94462,3552049622,Mittsommermord.,2000,Zsolnay
94465,3552049282,Die falsche FÃ?Â¤hrte.,1999,Zsolnay
94468,3552052054,Die RÃ?Â¼ckkehr des Tanzlehrers.,2002,Zsolnay
94471,156584341X,Faceless Killers: A Mystery,1997,New Press
94474,1400031575,Faceless Killers: A Mystery (Vintage Crime/Black Lizard),2003,Vintage Books USA
94477,1400031559,The White Lioness: A Mystery (Vintage Crime/Black Lizard),2003,Vintage Books USA
94480,848310136X,LA Quinta Mujer/the Fifth Woman (Andanzas),2000,Tusquets
94483,8483101858,LA Falsa Pista/Sidetracked (Andanzas),2001,Tusquets
94486,8483102374,LA Leona Blanca/the White Lioness (Andanzas),2003,Tusquets
94489,8483102226,Los Perros De Riga (Andanzas),2002,Tusquets
94492,8483101599,Asesinos Sin Rostro,2002,Tusquets
94495,1860467636,Sidetracked,2000,Trafalgar Square
94498,1550378015,Secrets in the Fire,2003,Annick Press
94501,1400031540,The Fifth Woman (Vintage Crime/Black Lizard),2004,Vintage Books
94504,1400031516,One Step Behind (Vintage Crime/Black Lizard),2003,Vintage Books USA
94507,342313075x,Die rote Antilope.,2003,Dtv
94510,1565845471,The Fifth Woman: A Kurt Wallander Mystery,2000,New Press
94513,1565847679,Firewall: A Kurt Wallander Mystery,2002,New Press
94516,202053360X,Les Morts de la Saint-Jean,2002,Seuil
94519,3423706783,Die Schatten wachsen in der DÃ?Â¤mmerung. ( Ab 11 J.).,2002,Dtv
94522,1400031567,Sidetracked: A Kurt Wallander Mystery (Vintage Crime/Black Lizard),2003,Vintage Books USA
94525,8483108445,Els Gossos De Riga (l'ull De Vidre),2002,Spanish Language Book Services Inc
94531,1565848608,The Return of the Dancing Master,2004,New Press
94534,3552049010,Die fÃ?Â¼nfte Frau.,1998,Zsolnay
94537,8483109123,LA Quinta Mujer,2003,Planeta Pub Corp
94540,3552051872,Wallanders erster Fall und andere ErzÃ?Â¤hlungen.,2002,Zsolnay
94543,2020581167,La Muraille invisible,2003,Seuil
94546,342313075X,Die rote Antilope.,2003,Dtv
94549,3552049819,Der Chronist der Winde.,2000,Zsolnay
94552,3552051694,Die rote Antilope.,2001,Zsolnay
94555,2020312980,Le guerrier solitaire,1999,Seuil
94558,9173244821,ComÃ©dia infantil,1995,Ordfront
94561,8831772090,I Cani Di Riga,0.0,European Schoolbooks Limited
94564,345334302,Ringworld Engineers,1990,Del Rey Books
94568,345302575,The Smoke Ring,1990,Del Rey Books
94572,345321421,Limits,1985,Del Rey Books
94576,312855222,Beowulf's Children,1995,St Martins Pr
94580,671218336,The Mote in God's Eye,1974,Simon  Schuster
94584,345333926,Ringworld,1990,Del Rey Books
94588,345257502,A World Out of Time,1977,Not Avail
94592,449235998,Lucifers Hammer,1982,Ballantine Books
94596,441653162,The Patchwork Girl,1980,Penguin Putnam~mass
94600,441515444,Magic Goes Away,1978,Ace Books
94604,345277406,Convergent Series,1980,Not Avail
94608,441167128,The Barsoom Project,2003,Ace Books
94612,671036602,The Burning City,2000,Atria
94616,3404242386,Ringwelt.,1998,LÃ?Â¼bbe
94620,671720791,MAN-KZIN WARS IV,1991,Baen
94624,671720082,MAN KZIN WARS III,1990,Baen
94628,345248686,The long arm of Gil Hamilton,1976,Ballantine Books
94632,812566785,Rainbow Mars,2000,Tor Science Fiction
94636,671532278,OATH OF FEALTY,1984,Pocket
94640,345323440,Footfall,1996,Del Rey Books
94644,441515479,Magic Goes Away,1981,Ace Books
94648,743435826,Fallen Angels,2002,Baen
94652,812511069,Destiny's Road,1998,Tor Science Fiction
94656,345293010,Ringworld,1981,Ballantine Books
94660,312867778,Rainbow Mars,1999,St Martins Pr
94664,449208133,Lucifer's Hammer,1983,Fawcett Books
94668,872234878,Lucifer's Hammer,1977,Putnam Pub Group
94672,345358619,The Ringworld Throne,1996,Ballantine Books
94676,671698338,The MAN-KZIN WARS II,1989,Baen
94680,812510836,Achilles' Choice,1991,Tor Science Fiction
94684,345381483,The California Voodoo Game,1993,Del Rey Books
94688,345336968,A World Out of Time,1991,Del Rey Books
94692,743471458,Man-Kzin Wars IX (Man-Kzin Wars),2003,Baen
94696,812580109,Saturn's Race,2001,Tor Science Fiction
94700,067165411X,Man-Kzin Wars,1988,Baen
94704,671657666,LEGACY HEOROT X,1988,Pocket
94708,671741926,The Mote in God's Eye,1991,Pocket
94712,671878794,The Best of All Possible Wars,1998,Baen Books
94716,671640941,The Legacy of Heorot,1987,Simon  Schuster
94720,067149175X,The Mote in God's Eye,1983,Pocket
94724,345320654,The Integral Trees,1989,Del Rey Books
94728,345260090,Ringworld Engineers,1981,Ballantine Books
94732,345412966,The Ringworld Throne,1997,Del Rey Books
94736,345394801,"Flatlander/the Collected Tales of Gil \the Arm\"" Hamilton""",1995,Del Rey Books
94740,671795740,The Gripping Hand,1994,Pocket
94744,671878883,Man Kzin Wars VIII,1998,Baen
94748,671695320,LEGACY OF HEOROT : LEGACY OF HEOROT,1989,Pocket
94752,441515495,The Magic May Return,1993,Ace Books
94756,671649280,LEGACY OF HEOROT,1988,Pocket
94760,812516958,Playgrounds of the Mind,1992,Tor Science Fiction
94764,345381688,Crashlander,1994,Del Rey Books
94768,067172052X,FALLEN ANGELS,1991,Baen
94772,765301679,Ringworld's Children,2004,Tor Books
94776,312851227,Destiny's Road,1997,St Martins Pr
94780,671795732,GRIPPING HAND,1993,Atria
94784,441167292,Dream Park,1982,Ace Books
94788,671535889,Gripping Hand,1995,Simon  Schuster (A)
94792,345275500,Ringworld,1977,Ballantine Books
